Files already downloaded and verified
USE 1 GPUs!
# TEST : Loss: (0.4472) | Acc: (91.10%) (9110/10000)
Epoch: 137 | Batch_idx: 195 |  Loss: (0.0341) | Acc: (98.80%) (49398/50000)
# TEST : Loss: (0.4284) | Acc: (90.95%) (9095/10000)
Epoch: 138 | Batch_idx: 195 |  Loss: (0.0356) | Acc: (98.76%) (49382/50000)
# TEST : Loss: (0.4729) | Acc: (90.86%) (9086/10000)
Epoch: 139 | Batch_idx: 195 |  Loss: (0.0403) | Acc: (98.63%) (49317/50000)
# TEST : Loss: (0.4594) | Acc: (90.92%) (9092/10000)
Epoch: 140 | Batch_idx: 195 |  Loss: (0.0354) | Acc: (98.79%) (49395/50000)
# TEST : Loss: (0.4293) | Acc: (91.35%) (9135/10000)
Epoch: 141 | Batch_idx: 195 |  Loss: (0.0323) | Acc: (98.91%) (49455/50000)
# TEST : Loss: (0.4228) | Acc: (91.47%) (9147/10000)
Epoch: 142 | Batch_idx: 195 |  Loss: (0.0345) | Acc: (98.84%) (49418/50000)
# TEST : Loss: (0.4309) | Acc: (91.15%) (9115/10000)
Epoch: 143 | Batch_idx: 195 |  Loss: (0.0364) | Acc: (98.75%) (49377/50000)
# TEST : Loss: (0.4242) | Acc: (91.48%) (9148/10000)
Epoch: 144 | Batch_idx: 195 |  Loss: (0.0343) | Acc: (98.77%) (49383/50000)
# TEST : Loss: (0.4457) | Acc: (91.12%) (9112/10000)
Epoch: 145 | Batch_idx: 195 |  Loss: (0.0314) | Acc: (98.92%) (49458/50000)
# TEST : Loss: (0.4565) | Acc: (90.93%) (9093/10000)
Epoch: 146 | Batch_idx: 195 |  Loss: (0.0306) | Acc: (98.97%) (49487/50000)
# TEST : Loss: (0.4510) | Acc: (91.28%) (9128/10000)
Epoch: 147 | Batch_idx: 195 |  Loss: (0.0302) | Acc: (98.96%) (49478/50000)
# TEST : Loss: (0.4514) | Acc: (91.39%) (9139/10000)
Epoch: 148 | Batch_idx: 195 |  Loss: (0.0338) | Acc: (98.83%) (49417/50000)
# TEST : Loss: (0.4468) | Acc: (90.94%) (9094/10000)
Epoch: 149 | Batch_idx: 195 |  Loss: (0.0318) | Acc: (98.86%) (49431/50000)
# TEST : Loss: (0.4901) | Acc: (90.73%) (9073/10000)
Epoch: 150 | Batch_idx: 195 |  Loss: (0.0330) | Acc: (98.88%) (49439/50000)
# TEST : Loss: (0.4255) | Acc: (91.20%) (9120/10000)
Epoch: 151 | Batch_idx: 195 |  Loss: (0.0344) | Acc: (98.85%) (49426/50000)
# TEST : Loss: (0.4608) | Acc: (91.17%) (9117/10000)
Epoch: 152 | Batch_idx: 195 |  Loss: (0.0330) | Acc: (98.85%) (49424/50000)
# TEST : Loss: (0.4438) | Acc: (91.09%) (9109/10000)
Epoch: 153 | Batch_idx: 195 |  Loss: (0.0303) | Acc: (98.98%) (49488/50000)
# TEST : Loss: (0.4193) | Acc: (92.03%) (9203/10000)
Epoch: 154 | Batch_idx: 195 |  Loss: (0.0292) | Acc: (99.02%) (49508/50000)
# TEST : Loss: (0.4494) | Acc: (91.11%) (9111/10000)
Epoch: 155 | Batch_idx: 195 |  Loss: (0.0298) | Acc: (98.97%) (49486/50000)
# TEST : Loss: (0.4567) | Acc: (90.94%) (9094/10000)
Epoch: 156 | Batch_idx: 195 |  Loss: (0.0291) | Acc: (98.99%) (49497/50000)
# TEST : Loss: (0.4562) | Acc: (90.92%) (9092/10000)
Epoch: 157 | Batch_idx: 195 |  Loss: (0.0291) | Acc: (99.01%) (49506/50000)
# TEST : Loss: (0.4461) | Acc: (91.24%) (9124/10000)
Epoch: 158 | Batch_idx: 195 |  Loss: (0.0333) | Acc: (98.86%) (49429/50000)
# TEST : Loss: (0.4529) | Acc: (91.04%) (9104/10000)
Epoch: 159 | Batch_idx: 195 |  Loss: (0.0311) | Acc: (98.95%) (49474/50000)
# TEST : Loss: (0.4250) | Acc: (91.43%) (9143/10000)
Epoch: 160 | Batch_idx: 195 |  Loss: (0.0292) | Acc: (99.06%) (49528/50000)
# TEST : Loss: (0.4422) | Acc: (91.23%) (9123/10000)
Epoch: 161 | Batch_idx: 195 |  Loss: (0.0275) | Acc: (99.04%) (49522/50000)
# TEST : Loss: (0.4652) | Acc: (91.08%) (9108/10000)
Epoch: 162 | Batch_idx: 195 |  Loss: (0.0309) | Acc: (98.93%) (49464/50000)
# TEST : Loss: (0.4564) | Acc: (91.46%) (9146/10000)
Epoch: 163 | Batch_idx: 195 |  Loss: (0.0330) | Acc: (98.86%) (49432/50000)
# TEST : Loss: (0.4727) | Acc: (90.74%) (9074/10000)
Epoch: 164 | Batch_idx: 195 |  Loss: (0.0285) | Acc: (98.99%) (49495/50000)
# TEST : Loss: (0.4151) | Acc: (91.35%) (9135/10000)
Epoch: 165 | Batch_idx: 195 |  Loss: (0.0284) | Acc: (99.01%) (49505/50000)
